ID,Difficulty[0],Difficulty[1],Difficulty[2],Difficulty[3],Difficulty[4],Difficulty[5],Difficulty[6],Difficulty[7],Difficulty[8],Difficulty[9]
47,0,600,1510,3000,4500,6040,7550,9050,12080,0
48,0,625,1570,3100,4700,6290,7850,9400,12580,0
49,0,655,1630,3250,4900,6550,8150,9800,13100,0
50,0,680,1700,3400,5100,6810,8500,10200,13620,0
51,0,705,1760,3500,5300,7070,8800,10600,14140,0
52,0,730,1830,3650,5500,7340,9150,11000,14680,0
53,0,760,1900,3800,5700,7610,9500,11400,15220,0
54,0,785,1970,3900,5900,7890,9850,11800,15780,0
55,0,815,2040,4050,6100,8170,10200,12250,16340,0
56,0,845,2110,4200,6300,8450,10550,12650,16900,0
57,0,870,2180,4350,6500,8730,10900,13050,17460,0
58,0,900,2250,4500,6750,9020,11250,13500,18040,0
59,0,930,2320,4650,6950,9310,11600,13950,18620,0
60,0,955,2380,4750,7150,9550,11900,14300,19100,0
61,0,970,2400,4850,7300,9800,12200,14700,19600,0
62,0,1000,2550,5000,7600,10050,12600,15050,20100,0
63,0,1050,2600,5250,7800,10400,12950,15550,20800,0
64,0,1080,2650,5400,8050,10750,13350,16000,21500,0
65,0,1100,2700,5500,8250,11000,13750,16500,22000,0
66,0,1130,2850,5650,8550,11300,14150,17000,22600,0
67,0,1160,2900,5800,8750,11650,14600,17450,23300,0
68,0,1200,3050,6000,9000,12000,14950,17950,24000,0
69,0,1230,3100,6150,9250,12300,15400,18450,24600,0
70,0,1250,3150,6250,9500,12650,15800,19000,25300,0
71,0,2000,5050,10050,15100,20100,25150,30150,40200,0
72,0,2050,5100,10150,15250,20300,25400,30450,40600,0
73,0,2050,5150,10250,15400,20500,25650,30750,41000,0
74,0,2100,5200,10400,15550,20750,25950,31150,41500,0
75,0,2100,5250,10500,15700,20950,26200,31450,41900,0
76,0,2100,5300,10600,15850,21150,26450,31750,42300,0
77,0,2150,5350,10700,16050,21400,26750,32100,42800,0
78,0,2150,5400,10800,16200,21600,27000,32400,43200,0
79,0,2200,5450,10900,16350,21800,27250,32700,43600,0
80,0,2200,5500,11050,16550,22050,27550,33100,44100,0
81,0,2250,5550,11150,16700,22250,27800,33400,44500,0
82,0,2250,5650,11250,16900,22500,28150,33750,45000,0
83,0,2250,5700,11350,17050,22700,28400,34050,45400,0
84,0,2300,5750,11500,17200,22950,28700,34450,45900,0
85,0,2300,5800,11600,17400,23200,29000,34800,46400,0
86,0,2350,5850,11700,17550,23400,29250,35100,46800,0
87,0,2350,5900,11850,17750,23650,29550,35500,47300,0
88,0,2400,6000,11950,17950,23900,29900,35850,47800,0
89,0,2400,6050,12050,18100,24100,30150,36150,48200,0
90,0,2450,6100,12200,18250,24350,30450,36550,48700,0
91,0,2450,6150,12300,18450,24600,30750,36900,49200,0
92,0,2500,6200,12450,18650,24850,31050,37300,49700,0
93,0,2500,6300,12550,18850,25100,31400,37650,50200,0
94,0,2550,6350,12700,19000,25350,31700,38050,50700,0
95,0,2550,6400,12800,19200,25600,32000,38400,51200,0
96,0,2600,6450,12950,19400,25850,32300,38800,51700,0
97,0,2600,6550,13050,19600,26100,32650,39150,52200,0
98,0,2650,6600,13200,19750,26350,32950,39550,52700,0
99,0,2650,6650,13300,19950,26600,33250,39900,53200,0
100,0,2700,6700,13450,20150,26850,33550,40300,53700,0
